"","county","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"76","Lee","Brandy",86833,5378,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994
"77","Lee","Gin",56975,4951,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994
"78","Lee","Distilled Spirits",29232,3111,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994
"79","Sac","Misc",32237,1997,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508
"80","Sac","Vodka",93974,9762,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508
"81","Sac","Tequila",23763,1370,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508
"82","Sac","Whisky",233914,18749,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508
"83","Sac","Rum",95358,6530,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508
"84","Sac","Distilled Spirits",3109,307,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508
"85","Sac","Gin",8402,686,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508
"86","Sac","Brandy",9753,865,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508
"87","Sac","Amaretto",3312,468,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508
"88","Sac","Schnapps",24668,2021,91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508
"89","Page","Misc",118591,7081,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782
"90","Page","Amaretto",4297,433,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782
"91","Page","Whisky",505394,30826,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782
"92","Page","Brandy",12917,1006,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782
"93","Page","Vodka",189230,18018,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782
"94","Page","Tequila",79100,5499,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782
"95","Page","Distilled Spirits",6413,399,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782
"96","Page","Gin",21630,1909,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782
"97","Page","Rum",164652,11592,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782
"98","Page","Schnapps",43172,3298,88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782
"99","Madison","Misc",55644,3536,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924
"100","Madison","Amaretto",1514,158,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924
"101","Madison","Whisky",284301,18601,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924
"102","Madison","Tequila",37164,2838,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924
"103","Madison","Vodka",144499,14312,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924
"104","Madison","Brandy",9486,707,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924
"105","Madison","Rum",80602,5765,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924
"106","Madison","Schnapps",19592,1310,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924
"107","Madison","Distilled Spirits",5294,387,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924
"108","Madison","Gin",12733,1025,94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924
"109","Dickinson","Gin",115542,8356,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118
"110","Dickinson","Misc",335294,20304,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118
"111","Dickinson","Whisky",1280749,86572,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118
"112","Dickinson","Vodka",879700,78907,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118
"113","Dickinson","Brandy",51160,3720,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118
"114","Dickinson","Rum",672140,47477,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118
"115","Dickinson","Tequila",200112,13321,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118
"116","Dickinson","Distilled Spirits",28309,3111,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118
"117","Dickinson","Amaretto",11002,1268,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118
"118","Dickinson","Schnapps",190200,12837,95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118
"119","Dallas","Whisky",837213,49908,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,0.552296539180777,91.3697261572354,1.1681225504009
"120","Dallas","Rum",290915,20386,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,0.552296539180777,91.3697261572354,1.1681225504009
"121","Dallas","Misc",185121,11263,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,0.552296539180777,91.3697261572354,1.1681225504009
"122","Dallas","Schnapps",45283,3445,95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,0.552296539180777,91.3697261572354,1.1681225504009
"123","Johnson","Whisky",5456686,274111,94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084
