"","zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"49","50501",90.5,22.2,7.4,23606,28015,25118,1616,99,427,0,348,407,0.842620024986614,89.6591111904337,5.76833839014814,3256355,234269,13.9000678706957
"50","50702",88.5,17.9,6.9,30743,20210,16923,1904,14,249,0,324,796,1.52117763483424,83.7357743691242,9.4210786739238,4014593,282205,14.2258039368544
"51","50126",93.3,18.5,3.8,27194,6879,6550,129,26,21,0,76,77,3.9531908707661,95.2173281000145,1.87527256868731,826140,59139,13.9694617764927
"52","52501",85.2,17.6,7.1,26869,29655,26575,810,19,323,78,1439,411,0.906052942168268,89.6138931040297,2.73141122913505,2366392,164666,14.3708598010518
"53","50158",81.8,20,6.2,28421,31273,24899,460,93,1238,15,3687,881,0.908803120903015,79.618201004061,1.47091740479007,2729343,189049,14.4372252696391
"54","52245",96.4,65.2,4.6,20518,24606,21552,656,16,949,98,696,639,0.833861659757783,87.5883930748598,2.66601641875965,459322,30410,15.104307793489
"55","50213",88.7,16.7,4.5,30221,6877,6399,23,0,72,0,228,155,4.39450341718773,93.049294750618,0.334448160535117,564496,41724,13.5292877001246
"56","50049",91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,4.34161114476075,98.182919442762,0.105996365838886,369919,26684,13.862951581472
"57","50801",92.7,18.7,3.8,27304,9612,9324,122,24,66,7,0,69,2.84061589679567,97.0037453183521,1.26924677486475,887090,65879,13.4654442235007
"58","52802",81.5,9.3,7,26403,10520,8503,1195,55,208,13,168,378,2.50979087452471,80.8269961977186,11.3593155893536,953931,67740,14.0822409211692
"59","51334",89.3,19.3,5.5,26490,7197,6911,120,13,30,11,44,68,3.68070029178824,96.0261219952758,1.66736140058358,563186,44840,12.5599018733274
"60","52641",91.6,18.6,4.9,28763,11917,10515,419,41,481,0,207,254,2.41361080808928,88.2352941176471,3.51598556683729,1029259,71906,14.3139515478541
"61","52531",86.1,18.3,3.9,32223,6073,5898,5,0,11,0,118,41,5.30594434381689,97.118392886547,0.0823316318129425,288395,21243,13.5760015063786
"62","50321",90.9,34,5.7,30429,9007,6925,1398,33,265,0,92,294,3.37837237704008,76.8846452758965,15.5212612412568,1591232,106858,14.8910891089109
"63","50701",92.7,30.6,5.7,31576,30231,26130,1825,205,1002,125,359,585,1.0444907545235,86.4344546988191,6.03684959147895,2277325,153321,14.8533142883232
"64","51301",93.2,21,3.5,30168,12778,12146,73,4,7,0,192,356,2.36093285334168,95.0539990608859,0.571294412271091,1448957,117249,12.3579476157579
"65","50138",92.7,17.2,4.5,32520,11324,10973,86,58,45,0,22,140,2.87177675732957,96.9003885552808,0.759448957965383,796630,58667,13.5788433020267
"66","52806",92.8,25.5,5.7,31085,28498,23150,3339,82,739,0,345,843,1.0907783002316,81.2337707909327,11.7166116920486,1632335,119242,13.6892621727244
"67","52761",86.4,20.7,4.7,30668,30273,27502,732,42,325,0,755,917,1.01304793049912,90.8466290093483,2.41799623426816,2621441,187528,13.9789311462822
"68","50616",86,21.7,3.1,27018,10399,9663,247,65,245,0,37,142,2.59813443600346,92.9223963842677,2.37522838734494,927546,70310,13.1922343905561
"69","50112",92.8,28.6,4.1,21088,11532,10679,294,15,366,5,24,149,1.82865071106486,92.6031911203607,2.54942767950052,965345,68314,14.1309980384694
"70","52353",92.5,22.1,5.7,26660,9551,9011,145,46,71,11,153,114,2.79133075070673,94.3461417652602,1.51816563710606,1137692,77542,14.6719455262954
"71","52627",92.5,13.3,8.5,29992,13103,12335,334,0,44,0,58,332,2.28894146378692,94.138746851866,2.54903457223537,1051377,76087,13.8180898182344
"72","50511",95.3,24.4,0.9,33404,7184,7024,6,0,69,0,43,42,4.64977728285078,97.7728285077951,0.0835189309576837,948866,73771,12.8623171707039
"73","50131",96.7,56.8,3.9,55596,19683,18181,403,14,747,52,19,267,2.82456942539247,92.3690494335213,2.04745211603922,1236256,83503,14.8049291642216
"74","50022",89.1,21.6,2.2,27577,8148,7942,35,46,30,23,15,57,3.38451153657339,97.4717722140403,0.429553264604811,1012777,74501,13.5941396759775
"75","51401",92.4,23.5,1.5,31936,11900,11404,269,0,0,0,70,157,2.6836974789916,95.8319327731092,2.26050420168067,2039061,150008,13.5930150391979
"76","51106",91.9,26.1,4.7,28798,26012,24242,491,85,367,17,262,548,1.10710441334769,93.1954482546517,1.88759034291865,3361459,230926,14.5564336627318
"77","51442",69,10.7,6.8,28239,9908,8951,244,192,31,4,276,210,2.85012111425111,90.3411384739604,2.46265643924102,1117922,83308,13.4191434195996
"78","51012",88.7,17.7,3.5,27833,6335,6146,64,51,29,0,15,30,4.39352801894238,97.0165745856354,1.01026045777427,668894,51723,12.9322351758405
"79","52241",95.5,55.5,2.8,35895,20107,15466,2270,9,1846,0,333,183,1.78519918436365,76.9184860993684,11.2896006365942,5146272,296404,17.3623567833093
"80","52577",91,25.7,6.5,30104,15180,14466,283,14,232,0,80,105,1.98313570487484,95.296442687747,1.86429512516469,1185453,86363,13.7263990366245
"81","52556",95.5,38.8,7,21506,13433,10702,1006,0,802,0,372,551,1.60098265465644,79.6694707064691,7.4890195786496,806978,55459,14.550893452821
"82","50595",91,21.2,2.7,31414,9125,8407,72,0,364,0,269,13,3.4426301369863,92.1315068493151,0.789041095890411,684628,55012,12.4450665309387
"83","52722",97.3,48.4,4.2,42467,36393,32334,1198,122,1838,0,411,490,1.16690022806584,88.8467562443327,3.29184183771604,5006320,308554,16.2251016029609
"84","51031",90.9,19.5,3.6,36519,12130,11246,87,44,79,42,434,198,3.01063478977741,92.7122835943941,0.717230008244023,1297765,92905,13.9687314999193
"85","50548",94.1,24.9,3,30277,5659,5489,42,12,22,0,4,90,5.35023855804913,96.9959356776816,0.742180597278671,591971,46561,12.7138807156204
"86","51501",84.1,11.4,5.8,28355,34774,31530,758,178,357,5,1040,906,0.815408063495715,90.6711911198022,2.17978949790073,5175021,335524,15.4236984537619
"87","52807",93.9,42.6,3.1,33750,15054,12757,1497,15,347,0,215,223,2.24192905540056,84.7415969177627,9.94420087684336,5697018,371820,15.3219783766339
"88","52732",90,19.4,5.4,27399,27424,25003,1270,91,203,0,147,710,0.999088389731622,91.1719661610268,4.63098016336056,2601832,187603,13.8688187289116
"89","50266",96.2,61.1,2.7,47232,27651,23680,909,22,2082,51,450,457,1.70814798741456,85.6388557375863,3.28740371053488,5930103,337826,17.5537199623475
"90","50311",90,42.3,7.6,20477,15460,11728,1606,202,642,2,610,670,1.3245148771022,75.8602846054334,10.3880983182406,5849136,403954,14.4797080855741
"91","51105",67.8,7.6,6.3,22525,10333,7002,818,262,625,11,1216,399,2.17990902932353,67.7634762411691,7.91638439949676,974360,70202,13.8793766559357
"92","51104",90.2,33.7,3.8,27821,22223,19520,764,204,636,14,386,699,1.25190118345858,87.8369257076002,3.4378796742114,1191041,79473,14.9867376341651
"93","52002",94.7,40.4,2.3,36619,15877,14781,200,6,610,13,23,244,2.30641808905965,93.0969326698999,1.25968381936134,1640908,116621,14.0704332838854
"94","52804",91.1,20.4,5.1,30847,27007,22795,2348,69,432,0,342,1021,1.14218535935128,84.4040433961566,8.69404228533343,4146021,270396,15.3331447210758
"95","50310",90.8,34.2,4.4,32349,32300,24933,3559,211,2372,41,186,998,1.00151702786378,77.1919504643963,11.0185758513932,1956256,137535,14.2236957865271
