"","city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"59","Waukon","Brandy",31885,2940,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0
"60","Waukon","Rum",100191,6562,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0
"61","Waukon","Tequila",17798,1118,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0
"62","Waukon","Misc",57855,3485,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0
"63","Waukon","Whisky",230471,17016,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0
"64","Waukon","Gin",8527,676,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0
"65","Waukon","Vodka",122120,12081,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0
"66","Waukon","Amaretto",1929,197,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0
"67","Waukon","Schnapps",68361,5219,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0
"68","Waukon","Distilled Spirits",3124,218,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0
"69","Des Moines","Vodka",9907123,771338,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023
"70","Des Moines","Misc",3397260,187528,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023
"71","Des Moines","Brandy",2177548,89852,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023
"72","Des Moines","Whisky",12225234,653282,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023
"73","Des Moines","Amaretto",120986,11081,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023
"74","Des Moines","Tequila",3428570,186907,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023
"75","Des Moines","Rum",4013435,286968,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023
"76","Des Moines","Schnapps",1409948,101552,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023
"77","Des Moines","Distilled Spirits",170983,15285,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023
"78","Des Moines","Gin",1220280,86697,87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023
"79","Keokuk","Misc",178004,9237,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437
"80","Keokuk","Whisky",701182,39023,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437
"81","Keokuk","Amaretto",7819,836,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437
"82","Keokuk","Rum",286410,20364,89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437
