"","city","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"237","Fontanelle",89.1,7.6,8.1,27679,667,662,0,0,1,0,0,4,41.4977511244378,99.2503748125937,0,54523,4433,12.2993458154748
"238","Baxter",91.4,21.7,4.8,34813,1081,1069,0,12,0,0,0,0,32.204440333025,98.8899167437558,0,31418,2536,12.3888012618297
"239","Dayton",88.8,14,3.9,26071,704,678,0,3,0,0,4,19,37.0326704545455,96.3068181818182,0,58313,4233,13.7758091188283
"240","Villisca",88.9,10.8,7.3,23516,1255,1207,0,24,0,0,15,9,18.7378486055777,96.1752988047809,0,10869,873,12.4501718213058
"241","Stratford",89.7,14.7,6.8,31250,645,641,0,0,4,0,0,0,48.4496124031008,99.3798449612403,0,42077,3494,12.042644533486
"242","Inwood",88.5,13.6,1,32250,879,793,0,25,2,6,22,31,36.6894197952218,90.2161547212742,0,103173,7280,14.1721153846154
"243","George",85.2,19.5,2.6,31190,1007,967,0,0,3,0,28,9,30.9731876861966,96.0278053624628,0,37787,3171,11.9164301482182
"244","Melbourne",94.5,14.5,3.6,31042,821,794,3,0,5,0,2,17,37.809987819732,96.7113276492083,0.365408038976857,8616,731,11.7865937072503
"245","Griswold",87.3,14.2,9.4,23977,1176,1130,0,0,16,0,0,30,20.3886054421769,96.0884353741497,0,10945,1005,10.8905472636816
"246","Shellsburg",95.5,14.6,1.8,35912,1097,1082,15,0,0,0,0,0,32.7365542388332,98.6326344576117,1.36736554238833,82380,6571,12.5369045807335
"247","Blue Grass",90.1,18.1,4.7,37391,1563,1537,6,11,0,0,5,4,23.9225847728727,98.3365323096609,0.383877159309021,75133,6268,11.9867581365667
"248","Wilton",94.9,25.5,3.7,35409,2808,2771,7,0,0,0,4,26,12.6100427350427,98.6823361823362,0.249287749287749,77522,6693,11.5825489317197
"249","Polk City",98.1,39.7,0.9,49960,4115,4038,0,0,13,0,5,59,12.1409477521264,98.1287970838396,0,190399,13927,13.6712141882674
"250","Tiffin",96.7,30.5,1.5,41580,2530,2221,43,0,31,0,129,106,16.4347826086957,87.7865612648221,1.699604743083,69264,4949,13.9955546575066
"251","New Virginia",94.6,13.8,7.8,32143,553,550,0,0,3,0,0,0,58.124773960217,99.4575045207957,0,31585,2322,13.6024978466839
"252","Ellsworth",95.1,25.6,1.5,31612,574,494,0,0,4,0,68,8,55.0731707317073,86.0627177700349,0,50688,3908,12.9703172978506
"253","Reinbeck",96.9,24.1,7.9,36228,1765,1750,0,0,7,0,0,8,20.5257790368272,99.1501416430595,0,34098,2892,11.7904564315353
"254","De Soto",92.2,22,6.5,30568,1065,1033,0,0,2,0,0,30,28.7023474178404,96.9953051643192,0,73036,5463,13.3692110561962
"255","Neola",97.3,17.6,1.9,35929,978,963,0,0,0,0,0,15,36.7372188139059,98.4662576687116,0,42487,3052,13.9210353866317
"256","Casey",91.7,10.7,3.7,25938,391,375,0,0,0,0,0,16,66.3375959079284,95.9079283887468,0,25446,1678,15.1644815256257
