,city,category,sale.dollars,sale.volume,high.school,bachelor,unemployment,income,Average Income,population,Sale Per Person,Volume Sale Per Person,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi,income_per_capita,prop_white,prop_black
89,Sac City,Misc,18973,1196,92.7,18.9,5.4,26389,12.07734554,2185,8.683295195,0.547368421,2111,6,0,0,0,2,66,12.07734554,96.61327231,0.274599542
90,Sac City,Vodka,52010,5387,92.7,18.9,5.4,26389,12.07734554,2185,23.80320366,2.465446224,2111,6,0,0,0,2,66,12.07734554,96.61327231,0.274599542
91,Sac City,Tequila,16000,963,92.7,18.9,5.4,26389,12.07734554,2185,7.322654462,0.440732265,2111,6,0,0,0,2,66,12.07734554,96.61327231,0.274599542
92,Sac City,Whisky,139390,11544,92.7,18.9,5.4,26389,12.07734554,2185,63.79405034,5.283295195,2111,6,0,0,0,2,66,12.07734554,96.61327231,0.274599542
93,Sac City,Rum,48721,3405,92.7,18.9,5.4,26389,12.07734554,2185,22.2979405,1.558352403,2111,6,0,0,0,2,66,12.07734554,96.61327231,0.274599542
94,Sac City,Distilled Spirits,2645,283,92.7,18.9,5.4,26389,12.07734554,2185,1.210526316,0.129519451,2111,6,0,0,0,2,66,12.07734554,96.61327231,0.274599542
95,Sac City,Gin,4814,404,92.7,18.9,5.4,26389,12.07734554,2185,2.203203661,0.184897025,2111,6,0,0,0,2,66,12.07734554,96.61327231,0.274599542
96,Sac City,Brandy,6992,652,92.7,18.9,5.4,26389,12.07734554,2185,3.2,0.298398169,2111,6,0,0,0,2,66,12.07734554,96.61327231,0.274599542
97,Sac City,Amaretto,2444,352,92.7,18.9,5.4,26389,12.07734554,2185,1.118535469,0.161098398,2111,6,0,0,0,2,66,12.07734554,96.61327231,0.274599542
98,Sac City,Schnapps,13816,1224,92.7,18.9,5.4,26389,12.07734554,2185,6.323112128,0.560183066,2111,6,0,0,0,2,66,12.07734554,96.61327231,0.274599542
99,Clarinda,Misc,38791,2593,88.8,23.5,5.2,25348,4.667280427,5431,7.142515191,0.477444301,4978,306,19,29,0,34,65,4.667280427,91.65899466,5.634321488
100,Clarinda,Amaretto,2083,181,88.8,23.5,5.2,25348,4.667280427,5431,0.383538943,0.033327196,4978,306,19,29,0,34,65,4.667280427,91.65899466,5.634321488
101,Clarinda,Whisky,185204,11390,88.8,23.5,5.2,25348,4.667280427,5431,34.10127048,2.097219665,4978,306,19,29,0,34,65,4.667280427,91.65899466,5.634321488
102,Clarinda,Brandy,4378,357,88.8,23.5,5.2,25348,4.667280427,5431,0.806113055,0.065733751,4978,306,19,29,0,34,65,4.667280427,91.65899466,5.634321488
103,Clarinda,Vodka,63641,6086,88.8,23.5,5.2,25348,4.667280427,5431,11.7180998,1.12060394,4978,306,19,29,0,34,65,4.667280427,91.65899466,5.634321488
104,Clarinda,Tequila,21346,1406,88.8,23.5,5.2,25348,4.667280427,5431,3.930399558,0.258884183,4978,306,19,29,0,34,65,4.667280427,91.65899466,5.634321488
105,Clarinda,Distilled Spirits,3386,242,88.8,23.5,5.2,25348,4.667280427,5431,0.623457927,0.044559013,4978,306,19,29,0,34,65,4.667280427,91.65899466,5.634321488
106,Clarinda,Gin,6867,714,88.8,23.5,5.2,25348,4.667280427,5431,1.264408028,0.131467501,4978,306,19,29,0,34,65,4.667280427,91.65899466,5.634321488
107,Clarinda,Rum,60422,4092,88.8,23.5,5.2,25348,4.667280427,5431,11.12539127,0.753452403,4978,306,19,29,0,34,65,4.667280427,91.65899466,5.634321488
