"","zipcode","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"79","52632","Misc",178004,9237,89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194
"80","52632","Whisky",701182,39023,89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194
"81","52632","Amaretto",7819,836,89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194
"82","52632","Rum",286410,20364,89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194
"83","52632","Vodka",417977,38449,89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194
"84","52632","Tequila",126511,7003,89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194
"85","52632","Schnapps",162382,12078,89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194
"86","52632","Brandy",42891,2659,89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194
"87","52632","Gin",34091,2928,89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194
"88","52632","Distilled Spirits",24655,2898,89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194
"89","50583","Misc",18973,1196,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471
"90","50583","Vodka",52010,5387,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471
"91","50583","Tequila",16000,963,92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471
