,city,category,sale.dollars,sale.volume,high.school,bachelor,unemployment,income,Average Income,population,Sale Per Person,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi,income_per_capita,prop_white,prop_black
3188,Baldwin,Vodka,5141,615,90.9,7.3,6.7,19688,134.8493151,146,35.21232877,145,0,0,0,0,0,1,134.8493151,99.31506849,0
3189,Baldwin,Distilled Spirits,196,10,90.9,7.3,6.7,19688,134.8493151,146,1.342465753,145,0,0,0,0,0,1,134.8493151,99.31506849,0
3190,Baldwin,Rum,2259,137,90.9,7.3,6.7,19688,134.8493151,146,15.47260274,145,0,0,0,0,0,1,134.8493151,99.31506849,0
3191,Baldwin,Brandy,622,45,90.9,7.3,6.7,19688,134.8493151,146,4.260273973,145,0,0,0,0,0,1,134.8493151,99.31506849,0
3192,Baldwin,Amaretto,43,4,90.9,7.3,6.7,19688,134.8493151,146,0.294520548,145,0,0,0,0,0,1,134.8493151,99.31506849,0
3193,Baldwin,Schnapps,1762,126,90.9,7.3,6.7,19688,134.8493151,146,12.06849315,145,0,0,0,0,0,1,134.8493151,99.31506849,0
3194,Adair,Amaretto,18,3,96.6,19,6.8,32639,40.14637146,813,0.022140221,788,4,1,4,0,3,13,40.14637146,96.92496925,0.49200492
3195,Bondurant,Whisky,36289,2367,94.2,34.8,1.1,43068,8.479621973,5079,7.144910415,4939,0,0,82,0,0,58,8.479621973,97.24355188,0
3196,Bondurant,Misc,4296,300,94.2,34.8,1.1,43068,8.479621973,5079,0.845835794,4939,0,0,82,0,0,58,8.479621973,97.24355188,0
3197,Bondurant,Brandy,3315,155,94.2,34.8,1.1,43068,8.479621973,5079,0.652687537,4939,0,0,82,0,0,58,8.479621973,97.24355188,0
3198,Bondurant,Gin,606,45,94.2,34.8,1.1,43068,8.479621973,5079,0.119314826,4939,0,0,82,0,0,58,8.479621973,97.24355188,0
3199,Bondurant,Vodka,21081,1943,94.2,34.8,1.1,43068,8.479621973,5079,4.150620201,4939,0,0,82,0,0,58,8.479621973,97.24355188,0
3200,Bondurant,Rum,12295,792,94.2,34.8,1.1,43068,8.479621973,5079,2.420752117,4939,0,0,82,0,0,58,8.479621973,97.24355188,0
3201,Bondurant,Tequila,2395,128,94.2,34.8,1.1,43068,8.479621973,5079,0.471549518,4939,0,0,82,0,0,58,8.479621973,97.24355188,0
3202,Bondurant,Amaretto,135,18,94.2,34.8,1.1,43068,8.479621973,5079,0.026580035,4939,0,0,82,0,0,58,8.479621973,97.24355188,0
3203,Bondurant,Schnapps,1964,161,94.2,34.8,1.1,43068,8.479621973,5079,0.386690293,4939,0,0,82,0,0,58,8.479621973,97.24355188,0
3204,Bondurant,Distilled Spirits,367,17,94.2,34.8,1.1,43068,8.479621973,5079,0.072258319,4939,0,0,82,0,0,58,8.479621973,97.24355188,0
3205,Fort Atkinson,Distilled Spirits,27,1,87.7,13.3,4.3,32031,123.6718147,259,0.104247104,252,0,0,0,0,0,7,123.6718147,97.2972973,0
3206,Elma,Misc,4635,237,92.3,12,0.8,30819,54.83807829,562,8.247330961,560,0,0,0,0,0,2,54.83807829,99.64412811,0
3207,Elma,Rum,16815,1082,92.3,12,0.8,30819,54.83807829,562,29.91992883,560,0,0,0,0,0,2,54.83807829,99.64412811,0
